ID,Condition,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
058,H,0.419,S14,S35,1,0.5329999999999999,4.56449200000003,393.1242438364747,737.5689377795023
058,H,1.352,S35,S16,1,1.066,9.571494999999999,327.60167926614787,307.31864846730565
058,H,2.707,S16,PresentationBoard,1,0.02300000000000013,0.06272099999998204,433.0837509154552,18829.728300671857
058,H,3.372,PresentationBoard,Teacher,1,0.02300000000000013,0.029816000000010945,179.97001795854777,7824.783389502032
058,H,4.019,Teacher,PresentationBoard,1,0.020999999999999908,0.03747499999997217,188.32161752172797,8967.696072463275
058,H,4.573,PresentationBoard,Teacher,1,0.02099999999999902,0.06336999999999193,214.3454788559815,10206.927564571024
058,H,4.795,Teacher,S35,1,0.02200000000000024,0.04049699999995937,550.9447361224173,25042.942551018696
058,H,4.839,S35,Teacher,1,0.02400000000000002,0.05259000000000924,552.5972593281657,23024.88580534022
058,H,5.039,Teacher,S35,1,0.02200000000000024,0.049895999999989726,564.3216736844333,25650.985167473962
058,H,5.549,S35,PresentationBoard,1,0.045999999999999375,0.20581000000001382,776.1134881890662,16872.03235193645
058,H,5.638,PresentationBoard,S35,1,0.023000000000000576,0.25719399999996995,775.3811687460562,33712.22472808856
058,H,5.773,S35,PresentationBoard,1,0.020999999999999908,0.6348270000000298,780.4105233247435,37162.405872607
058,H,5.882999999999999,PresentationBoard,Teacher,1,0.023000000000001464,0.547600000000017,174.46523612456437,7585.44504889362
058,H,6.037999999999999,Teacher,PresentationBoard,1,0.02200000000000024,0.2378540000000271,173.26537332946825,7875.698787703016
058,H,6.082999999999999,PresentationBoard,Teacher,1,0.02200000000000113,0.38853399999999283,172.5506147221736,7843.209760098397
058,H,6.528,Teacher,PresentationBoard,1,0.021000000000000796,0.10816200000002141,184.4341648339591,8782.579277807243
058,H,7.615,PresentationBoard,Teacher,1,0.022999999999999687,0.09432300000000282,182.1478026109566,7919.469678737351
058,H,8.415,Teacher,PresentationBoard,1,0.022000000000002018,0.1416550000000143,206.48776353333875,9385.807433332719
058,H,9.237,PresentationBoard,Teacher,1,0.022999999999999687,0.004883000000006632,208.72826703875063,9075.142045163195
058,H,13.946,Teacher,PresentationBoard,1,0.022999999999999687,0.007064000000013948,182.59784204913265,7939.036610831962
058,H,14.236,PresentationBoard,Teacher,1,0.021999999999998465,0.0008310000000051332,189.47830164163918,8612.650074620564
058,H,15.167,Teacher,PresentationBoard,1,0.022999999999999687,0.007026999999993677,178.3396237828262,7753.8966862099405
058,H,16.455,PresentationBoard,S35,1,0.022999999999999687,0.8060150000000021,780.4360825147695,33932.00358759914
058,H,16.500999999999998,S35,S43,1,1.1320000000000014,64.666482,340.9014147506578,301.1496596737256
058,H,17.655,S43,S44,1,0.04400000000000048,1.152007999999995,61.940508142894664,1407.7388214294087
058,H,19.5,S44,S34,1,0.33399999999999963,14.24177499999999,163.4664452326532,489.42049470854306
058,H,20.699,S34,S35,1,2.9989999999999988,47.774613000000045,237.9943769524818,79.35791162136775
058,H,23.719,S35,S44,1,1.2880000000000003,66.191101,295.6221191216923,229.52027882118963
058,H,25.518,S44,S43,1,0.021999999999998465,0.1686409999999796,67.61565165699439,3073.4387116817775
058,H,25.787,S43,S42,1,0.02100000000000435,0.06599399999998923,93.48371845941946,4451.6056409238145
058,H,25.83,S42,S43,1,0.13300000000000267,0.5389260000000036,94.29823621362173,709.0092948392469
058,H,26.206,S43,S44,1,0.022999999999999687,0.021086999999965883,43.85517536163771,1906.7467548538395
058,H,26.385,S44,S43,1,0.020999999999997243,1.2686459999999897,49.527361377323544,2358.4457798728595
058,H,26.451,S43,S34,1,0.08899999999999864,9.679001000000028,155.2064235719643,1743.892399685019
058,H,26.741,S34,S22,1,0.022999999999999687,0.6806029999999623,221.16908197349827,9616.047042326143
058,H,26.94,S22,S34,1,0.08899999999999864,1.2470089999999914,209.30946850536884,2351.7917809592363
058,H,27.251,S34,S24,1,0.1999999999999993,2.5953359999999748,146.92016902386138,734.6008451193095
058,H,27.541,S24,PresentationBoard,1,3.7749999999999986,43.490256999999986,677.8321129586589,179.55817561818785
058,H,31.761,PresentationBoard,S35,1,0.021000000000000796,0.33480800000000954,785.211365820694,37391.01742003163
058,H,32.626999999999995,S35,S34,1,0.15400000000000347,8.489952000000017,91.70720796644066,595.5013504314195
058,H,33.114000000000004,S34,S47,1,0.8889999999999958,46.389538000000016,158.70042606748103,178.51566486780854
058,H,35.493,S47,S28,1,0.021000000000000796,0.2005970000000019,55.36640828155644,2636.4956324549685
058,H,36.092,S28,S47,1,0.021999999999998465,0.6651559999999961,56.037383611300044,2547.153800513816
058,H,38.98,S47,S35,1,0.7000000000000028,75.865628,193.33332200114913,276.1904600016405
058,H,40.125,S35,Teacher,1,0.02300000000000324,0.33330499999999574,600.4055320423022,26104.588349661633
058,H,40.234,Teacher,PresentationBoard,1,0.021999999999998465,0.2354970000000094,175.0188157970451,7955.40071804806
058,H,40.278,PresentationBoard,Teacher,1,0.045999999999999375,0.20290399999998954,176.72195249600426,3841.781576000145
058,H,42.389,Teacher,PresentationBoard,1,0.021999999999998465,0.03521700000001715,210.98614917098232,9590.279507772593
058,H,42.989,PresentationBoard,Teacher,1,0.02200000000000557,0.009270000000014988,216.593286955067,9845.149407046007
058,H,43.566,Teacher,S35,1,0.022999999999996135,0.16616799999999898,566.2344302504042,24618.888271760843
058,H,43.611,S35,Teacher,1,1.466000000000001,5.664756000000011,571.5712863930447,389.8849156842048
