Dataset,ID,Start,transition_entropy,stationary_entropy,VR_exp,event_agg
big,58,50,0.8846710535912063,1.8049005553876447,0.0,1.0
big,58,60,0.8580182542473631,1.6962152025697446,0.0,1.0
big,58,70,0.9209553886356764,1.450147754723911,0.0,1.0
big,58,80,0.7138563596896247,1.4441938783983648,0.0,1.0
big,58,90,0.4999885045466121,1.173284570107124,0.0,1.0
big,58,100,0.4330193215251263,1.127571833851282,0.0,1.0
big,58,110,0.6481885792527229,1.082521524271517,0.0,1.0
big,58,120,0.9147414930826838,1.2789066940263534,0.0,1.0
big,58,130,0.97970632523405,1.689981418252487,0.0,0.0
big,58,140,0.7655563814111324,1.8084459423847608,0.0,0.0
big,58,150,0.7189342809145116,1.515126614463373,0.0,0.0
big,58,160,0.7824189978727755,0.9181144812444996,0.0,0.0
big,58,170,0.6660566587727622,0.9540459910923166,0.0,0.0
big,58,180,0.8487942904068939,1.29862905159524,0.0,0.0
big,58,190,0.9220328474333398,1.4461186055758153,0.0,1.0
big,58,200,1.0657704140505275,1.639613366528605,0.0,1.0
big,58,210,0.9861530731692932,1.3865215049707773,0.0,1.0
big,58,220,0.8581948367053132,1.331319755421868,0.0,0.0
big,58,230,0.7546504099598683,0.9511649396087294,0.0,0.0
big,58,240,0.8998764286470545,1.084687397952699,0.0,0.0
big,58,250,0.7108297156860381,0.8970820525037753,0.0,0.0
big,58,260,0.5626190670738225,0.9425257452082636,0.0,1.0
big,58,280,0.7109501400763164,1.673912295487738,0.0,1.0
big,58,300,0.2677209885694545,1.2564616596719962,0.0,0.0
big,58,310,0.4622811705960852,0.9706972485160285,0.0,0.0
big,58,320,0.5776339238362008,1.3889147303946254,0.0,0.0
big,58,330,0.5490021739015342,1.3898462703912122,0.0,0.0
big,58,340,1.0531095332037042,1.5773382933547428,0.0,0.0
big,58,350,1.0501221042182,1.403751968236807,0.0,1.0
big,58,360,1.032270938751534,1.5213300970391208,0.0,1.0
big,58,370,1.0649478478718033,1.180321937000928,0.0,0.0
big,58,380,0.8953733447501798,1.023299212427209,0.0,1.0
big,58,390,0.6846069378505597,0.8259159370629054,0.0,1.0
big,58,400,1.2487986595533087,0.2877272457816521,0.0,0.0
big,58,410,0.6498330647784221,0.2639338855503276,0.0,1.0
big,58,420,0.9327627832696032,0.4087457431542127,0.0,1.0
big,58,440,0.3300995985430456,0.6604294353990464,0.0,0.0
big,58,450,0.3278817627180969,0.8159759589063172,0.0,0.0
big,58,460,0.5705353085190513,0.8495868358848033,0.0,0.0
big,58,470,0.1560945194867117,0.6549045283147654,0.0,0.0
big,58,480,0.2724269039613423,0.8920764544031711,0.0,0.0
big,58,490,0.3356303419309867,1.0098903074357466,0.0,0.0
big,58,500,0.3693285629317733,1.083183598327365,0.0,0.0
big,58,510,0.3801504556538714,1.139386823229511,0.0,0.0
big,58,520,0.6752671989544718,1.4589454531859785,0.0,0.0
big,58,530,0.9187039893897264,2.00480090420936,0.0,0.0
big,58,540,0.808984300428228,2.085822422580964,0.0,0.0
