Dataset,ID,Condition,Start,transition_entropy,stationary_entropy
big,58,H,0,0.6219671407358154,1.500765300899753
big,58,H,10,0.702212008317532,1.945393058982772
big,58,H,20,0.7239787603398746,1.6931950521144283
big,58,H,30,0.7156048951487679,1.7365288574867273
big,58,H,40,0.7603547441856594,1.6842539518763822
big,58,H,50,0.8846710535912063,1.8049005553876447
big,58,H,60,0.8580182542473631,1.6962152025697446
big,58,H,70,0.9209553886356764,1.450147754723911
big,58,H,80,0.7138563596896247,1.4441938783983648
big,58,H,90,0.4999885045466121,1.173284570107124
big,58,H,100,0.4330193215251263,1.127571833851282
big,58,H,110,0.6481885792527229,1.082521524271517
big,58,H,120,0.9147414930826838,1.2789066940263534
big,58,H,130,0.97970632523405,1.689981418252487
big,58,H,140,0.7655563814111324,1.8084459423847608
big,58,H,150,0.7189342809145116,1.515126614463373
big,58,H,160,0.7824189978727755,0.9181144812444996
big,58,H,170,0.6660566587727622,0.9540459910923166
big,58,H,180,0.8487942904068939,1.29862905159524
big,58,H,190,0.9220328474333398,1.4461186055758153
big,58,H,200,1.0657704140505275,1.639613366528605
big,58,H,210,0.9861530731692932,1.3865215049707773
big,58,H,220,0.8581948367053132,1.331319755421868
big,58,H,230,0.7546504099598683,0.9511649396087294
big,58,H,240,0.8998764286470545,1.084687397952699
big,58,H,250,0.7108297156860381,0.8970820525037753
big,58,H,260,0.5626190670738225,0.9425257452082636
big,58,H,270,0.791500564028456,1.6136635962430594
big,58,H,280,0.7109501400763164,1.673912295487738
big,58,H,290,0.7477563152155142,1.8223447916658984
big,58,H,300,0.2677209885694545,1.2564616596719962
big,58,H,310,0.4622811705960852,0.9706972485160285
big,58,H,320,0.5776339238362008,1.3889147303946254
big,58,H,330,0.5490021739015342,1.3898462703912122
big,58,H,340,1.0531095332037042,1.5773382933547428
big,58,H,350,1.0501221042182,1.403751968236807
big,58,H,360,1.032270938751534,1.5213300970391208
big,58,H,370,1.0649478478718033,1.180321937000928
big,58,H,380,0.8953733447501798,1.023299212427209
big,58,H,390,0.6846069378505597,0.8259159370629054
big,58,H,400,1.2487986595533087,0.2877272457816521
big,58,H,410,0.6498330647784221,0.2639338855503276
big,58,H,420,0.9327627832696032,0.4087457431542127
big,58,H,430,0.0491487010659266,0.5319081334488778
big,58,H,440,0.3300995985430456,0.6604294353990464
big,58,H,450,0.3278817627180969,0.8159759589063172
big,58,H,460,0.5705353085190513,0.8495868358848033
big,58,H,470,0.1560945194867117,0.6549045283147654
big,58,H,480,0.2724269039613423,0.8920764544031711
big,58,H,490,0.3356303419309867,1.0098903074357466
big,58,H,500,0.3693285629317733,1.083183598327365
big,58,H,510,0.3801504556538714,1.139386823229511
big,58,H,520,0.6752671989544718,1.4589454531859785
big,58,H,530,0.9187039893897264,2.00480090420936
big,58,H,540,0.808984300428228,2.085822422580964
big,58,H,550,1.1948657847964854,1.7168071355693049
big,58,H,560,1.2476211794164556,1.3156224227027364
big,58,H,570,1.161221939346441,1.045749214505835
big,58,H,580,1.0243332835109862,1.0562866897553636
big,58,H,590,0.7202046397884884,0.8301122108308462
big,58,H,600,0.82894498536537,0.4663617216390033
big,58,H,610,0.82894498536537,0.4663617216390033
big,58,H,620,0.1420481762160551,0.6451646156344684
big,58,H,630,0.0691682076430392,0.4980158598351033
big,58,H,640,0.1499501771621054,0.5448367277936641
big,58,H,650,0.2510459198493769,0.8030812492855035
big,58,H,660,0.7777557776855024,1.4241564257627677
big,58,H,670,0.6515051838502645,1.4552276467728276
big,58,H,680,0.92749599242575,1.6174285541522075
big,58,H,690,0.9271657484920186,1.5999126203203486
big,58,H,700,0.8850552706226964,1.972151409759772
big,58,H,710,0.9130191599092712,1.9371146783914412
big,58,H,720,0.8287194207800253,1.553029696689337
big,58,H,730,1.003835950262074,1.0919509280000772
big,58,H,740,0.4554088640373294,0.5147640088342771
big,58,H,750,0.8435198837769472,0.3026315550888868
big,58,H,760,0.9059279951536254,0.403958636363803
big,58,H,770,0.7370636282499635,1.292097957502166
big,58,H,780,0.7494594043070744,1.6189026339711214
big,58,H,790,0.6459323128092815,1.66446442354426
big,58,H,800,0.7699645263084612,1.5556667264509647
big,58,H,810,0.6382739333081502,1.3771155189616864
big,58,H,820,0.6528626090023405,1.4823881025711685
big,58,H,830,0.6483360797141858,1.4803662517831424
big,58,H,840,0.5064453973508348,1.3188213530514863
big,59,E,0,0.4498112277224185,1.4979495506004272
big,59,E,10,0.6145634295350413,1.3106623661114407
big,59,E,20,0.957240354680605,1.3580954726209191
big,59,E,30,0.9795955713002564,0.9733025577646368
big,59,E,40,0.7299712360673418,0.984648001193232
big,59,E,50,0.6848367881347182,0.8890180126835784
big,59,E,60,0.6603598044436346,1.0239134159419845
big,59,E,70,0.7165028833908638,1.1391255460727363
big,59,E,80,0.6543241510704618,1.1522903973227128
big,59,E,90,0.5947081804913877,1.094057817681838
big,59,E,100,0.2777787924308756,0.9312461263213558
big,59,E,110,0.2083911040454376,1.2638975696627113
big,59,E,120,0.6139037236916477,1.4302238627351196
big,59,E,130,0.823347716128347,1.3181982104340562
big,59,E,140,0.7014122731991989,1.0602861120820977
big,59,E,150,0.0192358207128812,0.4287621357224068
big,59,E,160,0.1413310805740518,0.9728571898850472
big,59,E,170,0.440954034931867,0.9774097399595528
big,59,E,180,0.4432583159440162,0.9703757953581738
big,59,E,190,0.5345418990270294,0.8882978090728768
big,59,E,200,0.4056169252434909,0.7351837098723285
big,59,E,210,0.5656465660946361,1.00041930177805
big,59,E,220,0.638998668384117,0.8646830621006967
big,59,E,230,0.6769374616847573,0.684880508732221
big,59,E,240,0.6317931228562217,0.661373913638315
big,59,E,250,0.5591337647939342,0.95370460247127
big,59,E,260,0.4973657269701639,0.9387994557520072
big,59,E,270,0.4713662639827072,0.7415130629226705
big,59,E,280,0.6895713300543724,1.0946508461172546
big,59,E,290,0.730691425135144,1.1784751069927415
big,59,E,300,0.824655154749641,1.1711050788489028
big,59,E,310,0.8829980292393744,1.148030005388719
big,59,E,320,0.7199835882443636,1.0816091560047536
big,59,E,330,0.5840556018544165,1.1278617886394036
big,59,E,340,0.6374729528320816,1.0452829514580084
big,59,E,350,0.7167028900063075,0.878148387942852
big,59,E,360,0.7165556421399625,0.8563422336528357
big,59,E,370,0.6690286346532154,0.6517063953009474
big,59,E,380,0.4984726920096522,0.4182523892949352
big,59,E,390,-0.0,0.3619094891583747
big,59,E,400,-0.0,0.6377928896999768
big,59,E,410,-0.0,0.6887743446051398
