Dataset,ID,Condition,Start,transition_entropy,stationary_entropy
big,126,I,0,0.18879981808837412,1.7078114583207478
big,126,I,10,0.35964763269124334,1.7017036674282453
big,126,I,20,0.14660257049323738,1.5519203842356863
big,126,I,30,0.5244619433314648,1.7973128723534346
big,126,I,40,0.33063024752291725,1.662876947015378
big,126,I,50,0.6176569324105237,1.8019511018457166
big,126,I,60,0.5079506400495128,1.636100110554209
big,126,I,70,0.13403606533370738,1.52092344346314
big,126,I,80,0.6996940774204554,1.1287620804532585
big,126,I,90,0.8961616581199917,1.087348709504368
big,126,I,100,0.9888396124197288,1.2932573483129997
big,126,I,110,0.4457513656565851,1.8284788735092916
big,126,I,120,0.4368851086833527,1.6012726029595399
big,126,I,130,0.07712101295511734,1.0021138745538563
big,126,I,140,0.07756238203925447,1.0061759841444744
big,126,I,150,0.49462002404586264,1.307356724064939
big,126,I,160,0.3298888281157998,1.3004535915791207
big,126,I,170,0.2517199381407593,1.0653989343978534
big,126,I,180,0.5860131254379355,0.9023132835660835
big,126,I,190,0.5803865667237518,0.9661407977562627
big,126,I,200,0.5624937506239966,1.0193309239453767
big,126,I,210,0.4781794664678415,1.182138625022568
big,126,I,220,0.40739556518509074,1.0326057509685076
big,126,I,230,0.30303480694721185,0.9347368547889279
big,126,I,240,-0.0,0.6447521561960028
big,126,I,250,0.20898452828848604,0.6795164651665935
big,126,I,260,0.25047778520594083,0.6629836822148774
big,126,I,270,0.6934995072614484,1.0891319563629822
big,126,I,280,0.6062563582809114,0.8618265471118576
big,126,I,290,0.470252793085769,0.8933968716883951
big,126,I,300,0.4724147055704642,0.6870570374904218
big,126,I,310,0.2435504244977971,0.7477106217993013
big,126,I,320,-0.0,0.28317666568024596
big,126,I,330,0.5979643601497228,0.9645711195023032
big,126,I,340,0.7222445065744281,1.3755430264344775
big,126,I,350,0.7222445065744281,1.3755430264344775
big,126,I,360,0.5912927105647586,1.2926850638838927
big,126,I,370,0.09837215547522862,1.4224351393531
big,126,I,380,0.10755720060620658,1.2091211272867712
big,126,I,390,0.2984429261795372,1.4177349167303666
big,126,I,400,0.3997082435500279,0.9747698911176264
big,126,I,410,0.4265543260261433,1.0139433211130289
big,126,I,420,0.11740509739802475,0.5123375839680722
big,126,I,430,-0.0,0.4647415492064747
big,126,I,440,,
big,126,I,450,-0.0,-0.0
big,126,I,460,-0.0,0.34958896252429844
big,126,I,470,-0.0,0.21778405159506836
big,126,I,480,-0.0,0.608075257994541
big,126,I,490,-0.0,0.5866158047523173
big,126,I,500,0.2733344299002744,0.7943044927859153
big,126,I,510,0.6172730201056972,0.6574567280472161
big,126,I,520,0.6182447586944883,0.6479260494421761
big,126,I,530,0.6936005075894072,0.7530856341021572
big,126,I,540,1.0078964110415307,1.0543053185209617
big,126,I,550,1.0829809708873532,1.5586397008216029
big,126,I,560,1.1217650888082922,1.9965610248956431
big,126,I,570,0.6893717683868122,1.6927980026271223
big,126,I,580,0.4192948211981941,1.1844414958679659
big,126,I,590,0.3324656677655401,0.8653634664741614
big,126,I,600,0.7759270094082629,0.8753939918610363
big,126,I,610,0.1307137133853497,0.6184494294904401
big,126,I,620,0.08285126343388981,0.590706828065801
big,126,I,630,0.0716627421281472,0.49376398408990424
big,126,I,640,0.16668431743026405,0.8072013162036829
big,126,I,650,-0.0,0.6019314392583561
big,126,I,660,0.4523299260303988,0.5499105379680909
big,126,I,670,0.5924688461989001,0.4326507081558918
big,126,I,680,0.3544252048666767,0.47071913619529826
big,126,I,690,0.4788827370115477,0.4441944872025065
big,126,I,700,0.6908229859886421,1.310315834366277
big,126,I,710,0.9001648175660637,1.2453239170004058
big,126,I,720,0.6674291052045949,1.3663238612027595
big,126,I,730,0.5413376374975144,0.9270209473004785
big,126,I,740,0.4396046511927563,0.8444535607078569
big,126,I,750,0.5190891030024799,0.6051333621546926
big,126,I,760,0.5480866381797602,0.6169161492071995
big,126,I,770,0.4272067138420291,0.727008381682775
big,126,I,780,0.3799380116236335,0.6067458179384491
big,126,I,790,0.26150483975295846,0.5996134379127296
big,126,I,800,-0.0,0.44809804130108033
big,126,I,810,-0.0,0.6016354149497091
big,126,I,820,-0.0,0.6569099873016269
big,126,I,830,-0.0,0.47526101537708837
big,126,I,840,-0.0,0.6331951468975096
big,127,N,0,0.9383153249708744,0.8405495752197303
