Dataset,ID,Condition,Start,transition_entropy,stationary_entropy
big,58,H,0,0.5781923430002619,1.0535550043315587
big,58,H,10,0.26253757552521145,0.7484146255205106
big,58,H,20,0.6845165203816013,0.8929331747512957
big,58,H,30,0.8298178356484802,0.9439677102403237
big,58,H,40,0.8248068486763835,1.0155147356958367
big,58,H,50,0.9089620320033966,0.872305501889112
big,58,H,60,0.8918685062744056,0.8438284452561624
big,58,H,70,0.831731304047338,0.8832461688300737
big,58,H,80,0.6846356339271056,0.8054467696536343
big,58,H,90,0.556017856757349,0.8032716771034951
big,58,H,100,0.32502199975182133,0.8022253360524947
big,58,H,110,0.4484595488405352,0.7772550022022335
big,58,H,120,0.5821147336332235,0.7649981887947745
big,58,H,130,0.599605725581442,0.7374255113272393
big,58,H,140,0.6601904218545342,0.8551327787504808
big,58,H,150,0.6499525082970176,0.6270959289253181
big,58,H,160,0.6180545433367293,0.7527808156738489
big,58,H,170,0.658358782341899,0.7439911316570549
big,58,H,180,0.846230453385749,0.9684870863839972
big,58,H,190,0.9100612312718649,0.9286711583686028
big,58,H,200,0.8850527349173847,0.9266544227869686
big,58,H,210,0.6616422495639105,0.7712497037181637
big,58,H,220,0.5599461901942677,0.741624776062364
big,58,H,230,0.5733740954449003,0.6544695083465402
big,58,H,240,0.532498709107713,0.6524812810962477
big,58,H,250,0.5312253927366968,0.690703700687396
big,58,H,260,0.24451015675422255,0.6834483569678491
big,58,H,270,0.4026902093586411,0.6786553064316216
big,58,H,280,0.36854924992935006,0.689628794532974
big,58,H,290,0.37160292834388775,0.6478562079498213
big,58,H,300,0.2671040074914796,0.680174110303762
big,58,H,310,0.18748045116065912,0.5848809405686628
big,58,H,320,0.33406804541870544,0.8561122724509554
big,58,H,330,0.3698161828717376,0.9085424807155313
big,58,H,340,0.8077011252603616,0.9414977203648209
big,58,H,350,0.7218599513476394,0.8818034963395855
big,58,H,360,0.7104708043846779,0.8693743383145123
big,58,H,370,0.2507399030501891,0.6616752947097488
big,58,H,380,0.3654577003153808,0.6915144788997596
big,58,H,390,0.4149714731734465,0.6720793875419319
big,58,H,400,0.4894754135253445,0.10510266058288158
big,58,H,410,-0.0,-0.0
big,58,H,420,0.5550341609661129,0.25946507853995376
big,58,H,430,0.24055907723689793,0.44187827701849103
big,58,H,440,0.6120175647832586,0.513603256188826
big,58,H,450,0.5152166529041458,0.6555048333565475
big,58,H,460,0.4929205287688575,0.7427603545693668
big,58,H,470,0.1561580242822685,0.5940192799472124
big,58,H,480,0.27210591996079453,0.834664609431013
big,58,H,490,0.3662639764265975,0.980568950383766
big,58,H,500,0.36932856293177335,1.0831835983273652
big,58,H,510,0.4444208521867783,1.0268617975694099
big,58,H,520,0.6166991892748592,1.0592294238851931
big,58,H,530,0.5512931815856574,0.6001171813205172
big,58,H,540,0.48205429527027116,0.3975452445431545
big,58,H,550,0.6019109790611833,0.47778261633612484
big,58,H,560,0.6916643162272329,0.605795052590173
big,58,H,570,0.6534437617778424,0.48980942642402236
big,58,H,580,0.46574473801613886,0.548256072239951
big,58,H,590,0.5058364752971625,0.5076654128800031
big,58,H,600,0.9306073476979336,0.2784905560581781
big,58,H,610,0.9306073476979336,0.2784905560581781
big,58,H,620,0.14204817621605514,0.6451646156344684
big,58,H,630,0.06916820764303921,0.4980158598351033
big,58,H,640,0.1933437724941022,0.5448367277936641
big,58,H,650,0.32322438315197655,0.6354077798102529
big,58,H,660,0.40945861869508926,-0.0
big,58,H,670,0.37992271660568716,0.7474133720575259
big,58,H,680,0.4191788540000165,0.8129547309366286
big,58,H,690,0.3999802839342511,0.811353700636248
big,58,H,700,0.5506764450068946,0.8052133502781822
big,58,H,710,0.5675716456617681,0.7569851886131765
big,58,H,720,0.6781312802816968,0.8010875289012042
big,58,H,730,0.8757416422060071,0.4642758459856463
big,58,H,740,0.8244079837994109,0.3396509850116875
big,58,H,750,0.9788812766375361,0.20908782943874055
big,58,H,760,1.0173485184780129,0.28895644248474367
big,58,H,770,0.5775937438229511,0.4472554300667698
big,58,H,780,0.5309622048450818,0.4492091247985375
big,58,H,790,0.46968665268968174,0.6198431000696101
big,58,H,800,0.4592774697373801,0.6277135394168687
big,58,H,810,0.4020175442674654,0.6740750316718649
big,59,E,0,0.5858900555735188,0.42212406457487406
big,59,E,10,0.7759919444227349,0.41584440081291774
big,59,E,20,0.9182375130829428,0.6648281148734195
big,59,E,30,0.9343684792618329,0.7807820105288151
big,59,E,40,0.7941021542756057,0.8790160248137011
big,59,E,50,0.6848367881347182,0.8890180126835785
big,59,E,60,0.6603598044436346,1.0239134159419843
big,59,E,70,0.8206515171111994,0.9704675527298561
big,59,E,80,0.7596422241111209,1.0038372049365938
big,59,E,90,0.6941512821112698,0.8451202494240762
big,59,E,100,0.2777787924308756,0.9312461263213558
big,59,E,110,0.4836480424114362,0.5942402552975548
big,59,E,120,0.7846457708529704,1.0946575000788374
big,59,E,130,0.925586562379749,0.9053852750026842
big,59,E,140,0.6398922360243797,0.9745911352570149
big,59,E,150,0.5969584965459435,0.2755466111479043
big,59,E,160,0.1413310805740518,0.9728571898850472
big,59,E,170,0.440954034931867,0.9774097399595527
big,59,E,180,0.4432583159440162,0.9703757953581738
big,59,E,190,0.5345418990270294,0.8882978090728768
big,59,E,200,0.4056169252434909,0.7351837098723285
big,59,E,210,0.5656465660946361,1.00041930177805
big,59,E,220,0.6389986683841169,0.8646830621006967
big,59,E,230,0.6769374616847573,0.684880508732221
big,59,E,240,0.6317931228562216,0.661373913638315
big,59,E,250,0.5591337647939343,0.9537046024712701
big,59,E,260,0.4973657269701639,0.9387994557520072
big,59,E,270,0.47136626398270726,0.7415130629226705
big,59,E,280,0.6895713300543724,1.0946508461172546
big,59,E,290,0.75109460675544,1.0835266487255364
big,59,E,300,0.7339388792700464,1.077000567427335
big,59,E,310,0.7813633259716181,1.0469472804389772
big,59,E,320,0.6958541893671639,1.0321596856427524
big,59,E,330,0.6193929746059877,1.0967822977774573
big,59,E,340,0.6708188835913573,1.0142909944574854
big,59,E,350,0.7200063187466694,0.858198635681805
big,59,E,360,0.7148741641594528,0.83584492108706
big,59,E,370,0.6590017279471666,0.6517063953009474
big,59,E,380,0.4984726920096522,0.41825238929493525
big,59,E,390,-0.0,0.36190948915837473
big,59,E,400,-0.0,0.6377928896999768
big,59,E,410,-0.0,0.6887743446051398
big,59,E,420,0.20457950069334774,1.0519181307229222
big,59,E,430,0.4794719761799853,1.0856813733442245
big,59,E,440,0.6072677408573146,1.0217838401166939
big,59,E,450,0.36721741881063896,1.0033631818387163
big,59,E,460,0.31179436871392124,1.0658096003780222
big,59,E,470,0.2920888085866884,1.063060552384992
big,59,E,480,0.24755256448569601,0.9469049539593477
big,59,E,490,0.43037664439948065,0.7545489884697107
big,59,E,500,0.5939036766510369,0.7487060707932105
big,59,E,510,0.49116345189447036,0.7576356160243818
big,59,E,520,0.2556080518349597,0.992564527612399
big,59,E,530,0.27442185385406476,1.0133045718376865
big,59,E,540,0.09033584535085845,0.6994350061347979
big,59,E,550,0.3943205630228818,0.6717866484451582
big,59,E,560,0.5928699444093793,0.728260962211495
big,59,E,570,0.6777966318993901,0.739384584150641
big,59,E,580,0.5029976976134666,1.095206138050514
big,59,E,590,0.2969295698843921,0.90504771012285
big,59,E,600,-0.0,0.6591630376047246
big,59,E,610,0.4750583556285989,0.857238614824226
big,59,E,620,0.5331639628867446,0.7764673742340934
big,59,E,630,0.805971728051454,0.932000785393237
big,59,E,640,0.8248817537832275,0.9226412588772768
big,59,E,650,0.7347526256590079,1.0673029981582187
big,59,E,660,0.3774022059801132,0.7736177972450974
big,59,E,670,0.5510630162575172,0.6492127299846921
big,59,E,680,-0.0,0.41639586886509417
big,59,E,690,-0.0,0.46631410179912636
big,59,E,700,0.4310668948535863,0.6055544532375832
big,59,E,710,0.39934804024668424,0.7268390189628038
big,59,E,720,0.3949268398572649,0.6971000841935664
big,59,E,730,0.41925548221281167,0.6343697114711913
big,59,E,740,-0.0,0.39100163021541257
big,59,E,750,-0.0,0.672022537919642
big,59,E,760,-0.0,0.32774532438260817
big,59,E,770,0.4357964996455709,1.036514998315528
big,59,E,780,0.4400668431593637,1.0735142550984587
big,59,E,790,0.7176685954415072,1.0192212457245315
big,59,E,800,0.6450331845118671,1.050347582771631
big,59,E,810,0.674001856302171,1.0278012081345178
big,60,E,0,0.84108825632641,0.48567711791236995
big,60,E,10,0.7147303693852004,0.43307093414738584
big,60,E,20,0.5939126659223981,0.36496994491745505
big,60,E,30,0.46638659854196846,0.3302755051043659
big,60,E,40,0.49266313964501773,0.43835744724551023
big,60,E,50,0.4612249305243056,0.6042296957522122
big,60,E,60,0.6867630312210119,0.5836259062007974
big,60,E,70,0.6247543568056593,0.44392825323601404
big,60,E,80,0.6426889500836731,0.41381687768920095
big,60,E,90,0.31951392219808855,0.08665357605292467
big,60,E,100,0.34200224475551416,0.09639686115711707
big,60,E,110,0.43420862588483977,0.8324857793199738
big,60,E,120,0.6598794461653069,0.5360754070091193
big,60,E,130,0.10846706602836126,0.5398352690219993
big,60,E,140,0.07010131214801997,0.3903707880690869
big,60,E,150,0.15303967153177994,0.9308753076773417
big,60,E,160,0.15303967153177994,0.9308753076773417
big,60,E,170,0.5626952384925805,0.9374143428241075
big,60,E,180,0.26233039336509095,0.4905947688273241
big,60,E,190,0.4284632233191852,0.4370949562676253
big,60,E,200,0.504464578867597,0.3865886472813262
big,60,E,210,0.6605425648738269,0.9491341171212584
big,60,E,220,0.5747624298142913,1.021612783207757
big,60,E,230,0.4850549564400874,1.0690357493026663
big,60,E,240,0.4271657279025331,0.8315664761946926
big,60,E,250,0.4696478019133628,0.8148971130125525
big,60,E,260,0.41466126383606594,0.8040862035292118
big,60,E,270,0.48011381799047675,0.416085457680444
big,60,E,280,0.49509473883818933,0.5775674529365957
big,60,E,290,0.9006513868942977,0.7010276228234451
big,60,E,300,0.9319490080440151,0.6815174926942963
big,60,E,310,0.9765302851399993,0.5662727097802781
big,60,E,320,-0.0,0.5045747273029672
big,60,E,330,-0.0,0.5045747273029672
big,60,E,340,-0.0,0.5045747273029672
big,60,E,350,0.0,0.0
big,60,E,360,-0.0,-0.0
big,60,E,370,0.4765789774553056,0.7932156525606784
big,60,E,380,0.4765789774553056,0.7932156525606784
big,60,E,390,0.6692326949865781,0.9283849288671491
big,60,E,400,0.5298302229645501,0.22088041726396523
big,60,E,410,0.5298302229645501,0.22088041726396523
big,60,E,420,-0.0,-0.0
big,60,E,430,0.08395391900878875,0.7226700484000931
big,60,E,440,0.08395391900878875,0.7226700484000931
big,60,E,450,0.08395391900878875,0.7226700484000931
big,60,E,460,0.0,0.0
big,60,E,470,0.0,0.0
