ID,Condition,duration_start,Target,AOI_duration,pupil_diameter,distance_to_aoi
300,K,5.509,Teacher,5.074999999999999,-0.11474017124310587,447.4025977014218
300,K,10.584,PresentationBoard,0.4770000000000003,-0.13107318251816946,621.2997721875
300,K,11.061,Teacher,2.189,0.03777084226631328,441.07486803448273
300,K,13.25,PresentationBoard,0.3550000000000004,-0.2850524637681695,637.1467780625001
300,K,13.605,Teacher,1.1189999999999998,-0.34376506836000614,430.51605342857147
300,K,14.724,PresentationBoard,0.26699999999999946,-0.30026358876816944,642.5415345
300,K,14.991,Teacher,0.3000000000000007,-0.18893003321261392,441.8125542222222
300,K,15.291,PresentationBoard,0.5009999999999994,-0.2728635411491218,649.0642933809524
300,K,15.859000000000002,Teacher,0.08899999999999864,-0.357300644323725,503.48998
300,K,17.035,PresentationBoard,0.6219999999999999,-0.39605852816210885,647.684279878788
300,K,19.446,S16,0.06599999999999895,-0.42160233876816955,214.246849
300,K,19.512,PresentationBoard,3.0660000000000025,-0.3718920659255299,643.9508809492386
300,K,24.289,S16,1.230999999999998,-0.02042340398556073,206.87828921739128
300,K,25.52,PresentationBoard,0.10000000000000142,0.33373924456516396,651.4036053333333
300,K,25.62,S16,0.14499999999999957,0.4506614112318306,207.43418383333332
300,K,25.765,PresentationBoard,0.6890000000000001,0.43165071768344343,636.208502
300,K,26.454,S16,0.7109999999999985,0.4608753192778074,216.51450770114945
300,K,28.907,PresentationBoard,0.254999999999999,0.42614076123183076,632.5900085000001
300,K,29.162,S16,0.1999999999999993,0.08607282789849731,204.81944766666666
300,K,29.362,PresentationBoard,0.8680000000000021,-0.030869166893169493,644.7981930000001
300,K,30.942,S11,0.04400000000000048,-0.28405583876816953,492.3651125
300,K,30.986,S12,0.17599999999999838,-0.3689939637681695,430.3689155
300,K,31.162,S13,0.13300000000000267,-0.406944543313624,367.3099976363636
300,K,31.881,S32,0.10999999999999943,-0.0001278887681694485,428.17613520000003
300,K,32.101,S34,0.044000000000004036,-0.08664533876816949,319.1536715
300,K,32.145,S33,0.15800000000000125,-0.05151951733959792,354.5150145714286
300,K,32.303000000000004,S34,0.23899999999999721,-0.08180043876816948,304.6486085
300,K,32.61,S32,0.11500000000000199,-0.07934388876816936,476.8180238
300,K,32.751999999999995,S34,0.9140000000000015,-0.1104124054348361,309.41641336666675
300,K,33.666,S33,0.17999999999999972,-0.02853121376816939,338.289478375
300,K,34.032,S42,0.142000000000003,0.19565632789849718,527.7627665
300,K,34.174,S34,0.054000000000002046,0.2793484112318305,313.3169405
300,K,34.228,S33,0.30100000000000193,0.11163249456516379,365.21691133333337
300,K,34.727,S34,0.392000000000003,0.05634316123183051,300.68227707142853
300,K,35.475,S16,0.06400000000000006,0.30430241123183044,191.37996933333332
300,K,35.539,PresentationBoard,0.28699999999999903,0.20529818046259984,594.7065594615384
300,K,35.826,Teacher,1.2560000000000002,0.07977869007798437,419.1889096538461
300,K,37.082,PresentationBoard,0.4339999999999975,0.14530760353952285,639.9983848461538
300,K,37.516,Teacher,0.4340000000000046,0.2551190691265673,441.50694673684217
300,K,37.95,PresentationBoard,0.8649999999999949,0.11076609071901003,635.2788203846153
300,K,38.815,Teacher,1.8430000000000035,0.22735456758537984,465.9515467179488
300,K,40.658,PresentationBoard,1.0109999999999957,0.46864206912656725,633.7604948947369
300,K,41.669,Teacher,0.2680000000000007,0.5776589112318306,443.83638016666663
300,K,41.937,PresentationBoard,1.0459999999999994,0.20176837931693692,633.4175972978724
300,K,42.983,Teacher,0.8740000000000023,0.21828035766040196,438.29683239285714
300,K,43.857,PresentationBoard,0.7340000000000018,0.19335647183789112,638.4135723030303
300,K,44.591,Teacher,0.5979999999999919,0.08275816123183051,440.35675819999994
300,K,45.18899999999999,PresentationBoard,0.5670000000000073,0.08547745885087824,635.2786516190477
300,K,45.756,Teacher,0.8440000000000012,0.13188142438972528,446.6317025789474
300,K,46.6,PresentationBoard,0.5560000000000045,0.07851921123183048,637.04470216
300,K,47.156000000000006,Teacher,0.5539999999999949,0.0706901480739358,454.94951905263156
300,K,47.71,PresentationBoard,0.2330000000000041,-0.008902945911026647,635.4025270000001
300,K,47.943000000000005,Teacher,0.8239999999999981,0.004408754088973378,460.789331
300,K,48.767,PresentationBoard,0.2679999999999936,0.13807407789849716,633.11518875
300,K,49.035,Teacher,0.3410000000000082,0.057449002140921385,453.6423646363637
300,K,49.376000000000005,PresentationBoard,0.8219999999999956,-0.06411368876816938,631.9405802333332
300,K,50.198,Teacher,0.46699999999999875,0.14600575333709356,428.2491518421052
300,K,50.665,PresentationBoard,0.35600000000000165,-0.0059281512681694515,632.079669875
300,K,51.021,Teacher,0.4679999999999964,0.02624617313659244,407.8530403809523
300,K,51.489,PresentationBoard,0.3090000000000046,-0.1746898614954423,644.7052944545454
300,K,51.798,Teacher,0.36599999999999966,-0.005517134222714856,414.3517289090909
300,K,52.164,PresentationBoard,0.6009999999999991,0.28546860280634817,634.2759984166667
300,K,52.765,Teacher,0.6210000000000022,0.1731963933746877,411.0842002142858
300,K,53.386,PresentationBoard,0.5319999999999965,0.05935914039849721,635.78610225
300,K,53.918,Teacher,0.2740000000000009,0.2161075778984972,412.78462974999997
300,K,54.192,PresentationBoard,0.04399999999999693,0.19897541123183052,645.2439406111112
300,K,54.93,Teacher,1.1090000000000018,0.016899472456320334,418.0828825714285
300,K,56.039,PresentationBoard,0.06700000000000017,0.15696124456516394,655.0217083333333
300,K,56.106,Teacher,0.9329999999999998,0.2254825640096082,421.6675253888889
300,K,57.039,PresentationBoard,0.3889999999999958,0.15602228623183043,659.5198975833333
300,K,57.428,Teacher,0.6679999999999993,-0.05485539911299707,426.0722382413793
300,K,58.096,PresentationBoard,0.8010000000000019,0.06984262175814628,645.6658518421052
300,K,59.56100000000001,Teacher,0.043999999999989825,0.08939916123183056,430.4116210000001
300,K,59.605,PresentationBoard,0.06700000000000017,0.11753757789849713,652.9640503333334
300,K,59.672,Teacher,0.33500000000000085,0.11168334456516384,420.7249899333334
300,K,60.815,PresentationBoard,0.11200000000000188,0.016261911231830517,656.9408267499999
300,K,60.927,Teacher,0.4440000000000026,0.014603611231830526,429.57694545000004
300,K,61.371,PresentationBoard,1.5210000000000008,-0.29279661508395893,637.6264627192982
300,K,62.892,Teacher,0.8449999999999989,-0.4730890098208011,446.3143719210528
300,K,63.737,PresentationBoard,1.4979999999999976,-0.22997261555388374,650.0305513928571
300,K,65.235,Teacher,0.6670000000000016,-0.2811932611819626,435.6054656206896
300,K,66.435,PresentationBoard,0.06699999999999307,-0.35658083876816915,663.2335209999999
300,K,66.502,Teacher,0.25500000000000966,-0.1492887810758618,432.92337261538466
300,K,69.516,PresentationBoard,0.7740000000000009,-0.30393651733959803,634.4586304
300,K,70.29,Teacher,1.0229999999999961,0.010170476166895434,421.40888198701305
