ID,Condition,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
399,K,2.521,S16,Teacher,1,0.02300000000000013,0.1963039999999978,243.34003745787496,10580.001628603199
399,K,4.11,Teacher,PresentationBoard,1,0.021999999999999353,0.09585499999997182,218.79394531613528,9945.179332551896
399,K,4.311,PresentationBoard,Teacher,1,0.46499999999999986,1.1135170000000016,247.83176037788215,532.9715276943704
399,K,4.843,Teacher,PresentationBoard,1,0.02200000000000024,0.9064790000000187,209.90195819953658,9540.998099978831
399,K,5.331,PresentationBoard,S28,1,0.5110000000000001,55.275825000000026,620.8387183528424,1214.948568205171
399,K,6.242999999999999,S28,PresentationBoard,1,5.041000000000001,51.739434999999986,603.1013955637973,119.6392373663553
399,K,11.806,PresentationBoard,S16,1,0.034000000000000696,0.33504500000000803,427.428654696898,12571.431020496742
399,K,11.973,S16,PresentationBoard,1,0.0329999999999977,0.31947999999999865,446.95626612231314,13544.129276434676
399,K,12.34,PresentationBoard,Teacher,1,0.021000000000000796,0.28687300000001414,205.77405374827993,9798.764464203434
399,K,12.45,Teacher,PresentationBoard,1,0.023000000000001464,0.3778909999999769,226.4296837121847,9844.768857050882
399,K,12.494000000000002,PresentationBoard,Teacher,1,0.02299999999999791,0.41004200000003266,227.10381840030783,9874.079060883845
399,K,13.14,Teacher,PresentationBoard,1,0.023999999999999133,0.07067899999998417,201.46755016379188,8394.481256824965
399,K,13.187,PresentationBoard,Teacher,1,0.021000000000000796,0.1628029999999967,200.88843573735147,9566.115987492565
399,K,13.449000000000002,Teacher,PresentationBoard,1,0.03399999999999892,0.24279699999999593,196.34293410510094,5774.792179561976
399,K,13.515999999999998,PresentationBoard,Teacher,1,0.03300000000000125,0.4748309999999947,199.15891297654747,6035.118575046664
399,K,13.95,Teacher,PresentationBoard,1,0.03300000000000125,0.3364949999999851,227.74966970118749,6901.505142459965
399,K,14.239,PresentationBoard,Teacher,1,0.33399999999999963,3.560600000000022,242.09358543133686,724.8310941057998
399,K,15.324000000000002,Teacher,PresentationBoard,1,0.0329999999999977,0.2316810000000089,207.17891737577935,6278.149011387691
399,K,15.825,PresentationBoard,S33,1,1.096,257.247207,819.1876221788267,747.4339618419951
399,K,16.941,S33,S34,1,0.15700000000000003,7.6003570000000025,74.39149829785659,473.8311993494049
399,K,17.165,S34,S35,1,0.7390000000000008,36.609916999999996,250.22750487906,338.6028482801891
399,K,18.268,S35,S47,1,0.1460000000000008,6.2168279999999925,218.84311927497285,1498.9254744861073
399,K,18.457,S47,S35,1,0.782,15.719619000000009,218.51716529828954,279.433715215204
