ID,Condition,duration_start,Target,AOI_duration,pupil_diameter,distance_to_aoi
197,I,1.755,Teacher,0.7330000000000001,0.440239579349118,347.40805696153853
197,I,3.153,S16,0.20100000000000007,0.7078764586226223,100.85475077777778
197,I,3.354,Teacher,0.17799999999999994,0.7149615697337335,322.651241375
197,I,3.532,S16,0.3780000000000001,0.7145186873807923,118.47520711764706
197,I,3.91,Teacher,0.04400000000000004,0.6516910697337334,363.0886075
197,I,3.954,S16,2.0209999999999995,0.6318184956321553,100.02650583516481
197,I,6.175,Teacher,1.1770000000000005,0.5960969376582617,404.7715441886792
197,I,7.352,S16,1.1329999999999991,0.7534394338798057,164.4038711276596
197,I,8.485,Teacher,0.11200000000000188,0.6969043697337333,371.2132872
197,I,8.597000000000001,S16,0.1319999999999979,0.6682784864004,115.04088083333333
197,I,8.729,Teacher,0.44400000000000084,0.27627769427585785,366.41361917582424
197,I,15.215,PresentationBoard,0.4670000000000005,-0.23261464455198097,522.0099981428572
197,I,15.682,Teacher,0.4209999999999976,0.0043782840194476254,349.549327952381
197,I,16.615,PresentationBoard,1.5100000000000016,0.28771399361464267,564.353144890625
197,I,18.125,S16,1.5990000000000002,0.5269485350115111,108.98374786111111
197,I,19.724,PresentationBoard,0.13400000000000034,0.4887704864004001,589.7885436666667
197,I,20.08,S16,1.8220000000000027,0.10357014900202605,101.6096694512195
197,I,22.145,S14,0.04400000000000048,-0.30879635284505746,383.33699283333334
197,I,22.855,S23,0.04499999999999815,-0.26516574445536467,440.529648
197,I,23.744,PresentationBoard,0.06599999999999895,-0.5351984302662667,582.2392779999999
197,I,23.877,S16,2.666000000000004,0.2318443739004,114.15993889166666
197,I,26.543000000000003,PresentationBoard,0.1339999999999968,0.2964919864004,600.3614094999999
197,I,26.677,S16,0.48900000000000077,0.4179904883455242,119.95662718181819
197,I,28.565,PresentationBoard,0.3099999999999987,0.3734127840194476,594.955004
197,I,28.875,S16,1.311,0.4190564834781752,103.76734896835444
197,I,34.695,Teacher,1.0230000000000032,0.48848424973373333,352.71231134000004
197,I,36.139,S16,0.17799999999999727,0.7249846947337333,100.072525
197,I,36.317,PresentationBoard,0.0660000000000025,1.0091153174816028,545.0617269999999
197,I,36.383,Teacher,0.11199999999999477,0.6504810697337333,339.1127992
197,I,36.495,S16,0.06700000000000017,0.7475390697337333,103.088318
197,I,36.584,Teacher,0.0659999999999954,0.7483655697337334,374.223653
197,I,36.65,S16,0.2220000000000013,0.7446581697337334,100.6631858
197,I,36.872,Teacher,0.2220000000000013,0.6959185697337333,372.0331604
197,I,37.294,S16,2.9540000000000077,0.5151823892826054,101.19789769172931
197,I,40.248000000000005,Teacher,1.732999999999997,0.40087567870809226,387.8411231794871
197,I,41.981,S16,3.2650000000000006,0.4502983742014639,102.05828372108844
197,I,45.246,Teacher,1.3320000000000007,0.4499000114004,378.04478049999994
197,I,46.645,PresentationBoard,0.0449999999999946,0.3337971697337333,611.1977782
197,I,46.912,Teacher,1.4220000000000041,0.3621011087962333,393.102581859375
197,I,48.334,S16,0.19899999999999807,0.29705895862262227,101.78563022222221
197,I,48.533,Teacher,0.13400000000000034,0.19812731973373332,462.4853515
197,I,48.712,S16,0.2879999999999967,0.08824148640039997,102.92767375
197,I,49.644,Teacher,0.15500000000000114,0.17711214116230473,367.19432700000004
197,I,49.799,S16,0.3119999999999976,0.44080234627814796,156.170499
197,I,50.111,Teacher,0.3990000000000009,0.2312478475115111,358.09994333333333
197,I,50.51,S16,0.3780000000000072,0.2795327756160862,99.39269570588237
197,I,50.888000000000005,Teacher,0.08899999999999153,0.2533794447337333,356.147339
197,I,50.977,S16,0.5549999999999997,0.0983563297337333,105.61202768000001
197,I,51.688,S14,0.134999999999998,-0.029396430266266742,364.75517783333333
197,I,52.933,S16,0.6659999999999968,0.14011976973373333,99.4948667
197,I,54.153,S14,0.8220000000000027,-0.06855254743545264,367.5838494393064
197,I,60.084,S16,2.0649999999999977,-0.02137679048132045,100.95946503225804
197,I,62.193000000000005,Teacher,0.134999999999998,-0.11565834693293335,334.2948416666666
197,I,62.328,S16,0.19899999999999807,-0.12856793026626673,107.67946699999999
197,I,62.527,Teacher,1.0219999999999985,-0.16478419113583187,378.15013445652164
197,I,63.549,S16,1.3759999999999977,-0.04211628510497635,104.38987117741937
197,I,65.149,S14,0.24399999999999977,-0.26027893026626664,455.32298399999996
197,I,65.527,S16,1.509999999999991,0.10431699640039997,103.32943302666665
197,I,68.502,Teacher,0.2890000000000015,0.10557653127219488,375.933063076923
197,I,68.791,S16,0.3329999999999984,0.12733096973373334,103.6476538
197,I,69.124,Teacher,0.1110000000000042,0.2877125697337333,318.75666199999995
197,I,69.235,S16,0.35600000000000875,0.21488913223373335,121.038507
197,I,70.235,S14,0.045000000000001705,-0.20107693026626672,383.38400249999995
197,I,70.569,S23,0.044999999999987494,-0.3556445559419059,449.9606506
197,I,71.456,S16,1.6219999999999999,0.09508203372855259,102.00568431506849
197,I,73.1,PresentationBoard,0.8670000000000044,0.26169437742604107,522.9997057948718
197,I,73.99,S16,2.0420000000000016,0.6028237585557095,101.27290380434782
197,I,76.09899999999999,S14,0.045000000000001705,0.08611994135553758,368.7082365
197,I,76.321,S13,0.11200000000000898,0.3820698697337333,423.4297974
197,I,76.433,S14,0.35499999999998977,0.22396278848373335,378.7457236875
197,I,76.854,S16,3.176000000000002,0.3843519366402081,99.39543683453238
197,I,80.03,PresentationBoard,0.2669999999999959,0.3843906530670667,516.8036905833334
