ID,Condition,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
271,C,1.189,S14,S16,1,0.31199999999999983,15.828894999999989,296.95850286698305,951.7900732916129
271,C,2.7,S16,Teacher,1,4.018999999999999,1.212586000000016,235.8474842329254,58.68312620873985
271,C,14.437,Teacher,S13,1,2.511000000000001,29.686042999999984,375.3940145793483,149.49980668233698
271,C,19.468,S13,S14,1,0.22299999999999898,0.4758759999999995,65.03332375021286,291.6292544852608
271,C,20.713,S14,Teacher,1,0.35999999999999943,8.626143999999982,300.06034431260656,833.5009564239084
271,C,21.117,Teacher,PresentationBoard,1,0.04299999999999926,1.6242599999999925,206.35825633107095,4799.029217001733
271,C,21.334,PresentationBoard,S28,1,1.5109999999999992,76.93211400000001,629.8646398671701,416.85283909144306
271,C,23.077,S28,S14,1,6.576999999999998,77.083521,458.44452903486587,69.70420085675323
271,C,29.676,S14,S13,1,0.02300000000000324,2.823272000000003,39.64237163692407,1723.5813755181948
271,C,29.832,S13,S12,1,0.021999999999998465,3.843094000000008,72.79268456376647,3308.7583892623434
271,C,29.921,S12,S34,1,0.5210000000000008,325.51945500000005,353.06347314470236,677.665015632825
271,C,30.575,S34,S24,1,1.2289999999999992,352.1998899999999,156.27030178188048,127.15240177533
271,C,32.218,S24,S13,1,0.06699999999999307,3.6172180000000083,143.47459283441094,2141.4118333496385
271,C,32.308,S13,S14,1,0.021999999999998465,1.359893999999997,25.979334460297483,1180.8788391045134
271,C,32.577,S14,PresentationBoard,1,1.017000000000003,32.55857900000001,443.35728862058875,435.94620316675264
271,C,33.64,PresentationBoard,Teacher,1,0.24399999999999977,17.506567999999987,239.2988516144614,980.7329984199247
271,C,34.929,Teacher,S34,1,0.4239999999999995,76.94600699999998,549.3173506535179,1295.5597892771664
271,C,36.072,S34,PresentationBoard,1,0.8759999999999977,106.506046,779.119338513042,889.4056375719681
271,C,37.282,PresentationBoard,Teacher,1,0.03300000000000125,0.6461410000000285,211.61577205870077,6412.59915329372
271,C,37.414,Teacher,PresentationBoard,1,0.03300000000000125,1.7388910000000237,209.97701514927772,6362.939853008174
271,C,37.57,PresentationBoard,Teacher,1,0.02300000000000324,0.2532120000000191,197.74031442778679,8597.404975119953
271,C,37.659,Teacher,PresentationBoard,1,0.02300000000000324,0.3388519999999744,199.6561415033357,8680.701804491633
271,C,37.703,PresentationBoard,Teacher,1,0.022999999999996135,0.20935800000000881,202.31001793040303,8796.087736105957
271,C,38.061,Teacher,PresentationBoard,1,0.02300000000000324,0.022056000000020504,180.37783993883508,7842.5147799482465
271,C,38.105,PresentationBoard,Teacher,1,0.02200000000000557,0.19046099999997068,179.9589128495724,8179.950584069402
271,C,38.416,Teacher,PresentationBoard,1,0.02300000000000324,0.43566099999998187,174.84155759429734,7601.806851924901
271,C,38.526,PresentationBoard,Teacher,1,0.021999999999998465,0.16873099999997976,175.50395892115938,7977.452678235074
271,C,39.66,Teacher,PresentationBoard,1,0.02200000000000557,0.008454000000000406,170.62898359012752,7755.8628904583775
271,C,40.104,PresentationBoard,Teacher,1,0.02400000000000091,0.03269199999999728,191.84117554633573,7993.382314430352
271,C,40.614,Teacher,PresentationBoard,1,0.024000000000008015,0.01595299999999611,205.3066293571642,8554.442889878985
271,C,40.949,PresentationBoard,Teacher,1,0.021000000000000796,0.05049200000001974,211.2040232452971,10057.334440251861
271,C,41.25899999999999,Teacher,PresentationBoard,1,0.02300000000000324,0.10109699999998156,181.3345963378197,7884.11288425192
271,C,41.502,PresentationBoard,Teacher,1,0.02400000000000091,0.016365000000007512,199.3908062223532,8307.950259264402
271,C,42.969,Teacher,PresentationBoard,1,1.8789999999999978,9.625878,211.30250658475398,112.45476667629283
271,C,45.757,PresentationBoard,Teacher,1,0.02300000000000324,0.016227999999983922,201.81603401613063,8774.610174613139
271,C,46.179,Teacher,PresentationBoard,1,0.022999999999996135,0.020713999999998123,209.89319276479648,9125.790989775294
271,C,46.268,PresentationBoard,Teacher,1,0.022999999999996135,0.03885599999998135,176.61094656334302,7678.736807103161
271,C,46.401,Teacher,PresentationBoard,1,0.021999999999998465,0.002464000000031774,180.48246315916677,8203.748325417244
271,C,46.801,PresentationBoard,Teacher,1,0.021999999999998465,0.016020999999966534,199.76952392694938,9080.43290577106
271,C,49.355,Teacher,PresentationBoard,1,0.02300000000000324,0.012961999999987484,209.94933107061811,9128.231785677763
271,C,49.889,PresentationBoard,Teacher,1,0.021999999999998465,0.0766219999999862,207.89681884290584,9449.855401950925
271,C,50.865,Teacher,PresentationBoard,1,0.02300000000000324,0.017815000000013015,204.86228995107908,8907.056084828271
271,C,51.309,PresentationBoard,S14,1,0.45600000000000307,15.401816999999994,425.6021175522979,933.3379770883663
271,C,52.965,S14,Teacher,1,0.11199999999999477,1.4891130000000317,252.1432893614264,2251.279369298555
271,C,53.575,Teacher,PresentationBoard,1,0.032999999999994145,0.36861399999997957,209.8768299979776,6359.9039393337835
271,C,53.874,PresentationBoard,S16,1,0.03399999999999892,0.2352600000000109,435.1414027026157,12798.27655007734
271,C,54.721,S16,Teacher,1,0.06700000000000017,0.05715200000003051,249.57740603868774,3725.0359110251807
271,C,56.055,Teacher,S14,1,0.554000000000002,11.39589699999999,250.52575426291006,452.2125528211356
271,C,56.642,S14,Teacher,1,0.09900000000000375,0.741250000000008,265.217469690441,2678.9643403073837
271,C,57.465,Teacher,S13,1,0.6419999999999959,8.309539999999998,334.5405891861255,521.091260414529
