ID,Condition,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
110,L,2.462,S16,Teacher,1,0.021999999999999797,0.0337910000000079,240.26188006631432,10920.994548468932
110,L,6.06,Teacher,PresentationBoard,1,0.021000000000000796,0.005829000000005635,194.66569210829113,9269.794862299226
110,L,6.86,PresentationBoard,Teacher,1,0.02200000000000024,0.021232999999995172,171.66707084936237,7803.048674970932
110,L,8.193999999999999,Teacher,PresentationBoard,1,0.021000000000000796,0.04524199999997336,199.37395438973468,9493.997828082243
110,L,8.594,PresentationBoard,Teacher,1,0.02200000000000024,0.0003059999999663887,206.47213250702865,9385.096932137563
110,L,9.637,Teacher,PresentationBoard,1,0.02200000000000024,0.029457000000007838,208.38052905681954,9471.84222985533
110,L,10.725,PresentationBoard,Teacher,1,0.022999999999999687,0.016228000000012344,204.13000980992484,8875.21781782294
110,L,11.902,Teacher,S28,1,0.7789999999999999,56.431381000000016,460.7463713389396,591.4587565326568
110,L,13.258,S28,PresentationBoard,1,0.8430000000000017,34.23303199999998,613.0981016574754,727.2812593801591
110,L,14.19,PresentationBoard,Teacher,1,0.022999999999999687,2.1887359999999774,216.52248691995018,9414.021170432745
110,L,14.435,Teacher,S14,1,0.5329999999999995,25.798981000000026,314.9350672265634,590.8725463913015
110,L,15.035,S14,S12,1,0.37700000000000067,14.406914000000029,147.84551140295062,392.16316022002746
110,L,15.923,S12,PresentationBoard,1,0.17700000000000138,13.450339999999983,481.43413254982244,2719.9668505639474
110,L,16.367,PresentationBoard,S16,1,0.021999999999998465,1.8333279999999945,434.72254638792316,19760.115744906976
110,L,17.3,S16,S28,1,1.0219999999999985,38.60709800000001,195.76679317238663,191.55263519803026
110,L,18.567,S28,PresentationBoard,1,8.283999999999999,53.318077,635.4310744053993,76.70582742701586
110,L,27.584,PresentationBoard,S16,1,0.022999999999999687,0.1859969999999862,433.19052049877547,18834.370456468754
110,L,27.674,S16,PresentationBoard,1,0.022000000000002018,0.03239399999998227,430.25359445447987,19556.981566110928
110,L,27.807,PresentationBoard,S16,1,0.022000000000002018,0.02603899999999726,432.7190213383276,19669.046424467633
110,L,27.94,S16,PresentationBoard,1,0.022999999999999687,0.1601410000000385,431.9152377700977,18778.92338130885
110,L,31.716,PresentationBoard,S16,1,0.022999999999999687,0.7755739999999776,432.73474408695216,18814.554090737307
110,L,34.181999999999995,S16,Teacher,1,0.044000000000004036,0.04808000000002721,296.90737469790145,6747.894879497141
110,L,34.981,Teacher,S16,1,0.022999999999996135,0.24134100000000558,223.6427665586347,9723.598546029229
110,L,35.27,S16,PresentationBoard,1,0.021999999999998465,0.2671890000000019,437.6386736258578,19892.666982994924
110,L,35.515,PresentationBoard,Teacher,1,0.021999999999998465,0.08708899999999176,172.96029929148483,7861.831785977131
110,L,35.826,Teacher,PresentationBoard,1,0.021999999999998465,0.09929699999997865,198.17619590909501,9008.008904959494
110,L,35.892,PresentationBoard,Teacher,1,0.021999999999998465,0.13949600000000828,204.84497690936917,9311.135314062883
110,L,39.402,Teacher,PresentationBoard,1,0.021999999999998465,0.05311499999999114,182.61374926603963,8300.624966638745
110,L,40.002,PresentationBoard,Teacher,1,0.022999999999996135,0.0016710000000159653,172.2979530406557,7491.215349594985
110,L,41.977,Teacher,PresentationBoard,1,0.02300000000000324,0.044831000000044696,197.88104205810117,8603.523567742317
110,L,42.044,PresentationBoard,Teacher,1,0.02300000000000324,0.08641099999999824,195.37270396347589,8494.465389715146
110,L,42.089,Teacher,PresentationBoard,1,0.02300000000000324,0.01653300000000968,194.21761199747053,8444.243999888833
110,L,42.267,PresentationBoard,Teacher,1,0.021999999999998465,0.05656499999997777,206.81909411608976,9400.867914368371
110,L,43.0,Teacher,PresentationBoard,1,0.02300000000000324,0.13193499999999858,205.3901654193793,8930.007192145667
110,L,43.956,PresentationBoard,Teacher,1,0.021999999999998465,0.008002999999973781,205.45488235863365,9338.858289029455
110,L,44.844,Teacher,PresentationBoard,1,0.02200000000000557,0.000550000000032469,201.03080493794977,9137.763860813584
110,L,45.422,PresentationBoard,S16,1,0.02200000000000557,0.007736999999991667,440.02606331670853,20001.18469620896
110,L,45.821000000000005,S16,PresentationBoard,1,0.021999999999998465,0.022437999999993963,433.7532911425573,19716.058688299436
110,L,46.464,PresentationBoard,Teacher,1,0.02400000000000091,0.018378999999981716,197.32427902060104,8221.844959191398
110,L,50.68600000000001,Teacher,PresentationBoard,1,0.02199999999999136,0.03422499999999218,213.83614450555356,9719.824750256252
110,L,50.73,PresentationBoard,Teacher,1,0.02200000000000557,0.013031000000012227,207.410603935768,9427.754724350703
110,L,50.863,Teacher,PresentationBoard,1,0.021999999999998465,0.0016099999999994452,210.03466096337513,9547.030043790444
110,L,51.44,PresentationBoard,Teacher,1,0.02300000000000324,0.04428899999999203,227.6623147053548,9898.361508927075
110,L,51.752,Teacher,PresentationBoard,1,0.021999999999998465,0.0018079999999827123,229.81309152004374,10446.049614548172
110,L,52.441,PresentationBoard,Teacher,1,0.021999999999998465,0.032982000000004064,240.73093928907437,10942.315422231417
