index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,NA
5,big,58,H,50,0.8846710535912063,1.8049005553876447,1.0,80,False
6,big,58,H,60,0.8580182542473631,1.6962152025697446,1.0,80,False
7,big,58,H,70,0.9209553886356764,1.450147754723911,1.0,80,False
8,big,58,H,80,0.7138563596896247,1.4441938783983648,1.0,80,False
9,big,58,H,90,0.4999885045466121,1.173284570107124,1.0,80,False
10,big,58,H,100,0.4330193215251263,1.127571833851282,1.0,80,False
11,big,58,H,110,0.6481885792527229,1.082521524271517,1.0,80,False
12,big,58,H,120,0.9147414930826838,1.2789066940263534,1.0,80,False
13,big,58,H,130,0.97970632523405,1.689981418252487,0.0,80,False
14,big,58,H,140,0.7655563814111324,1.8084459423847608,0.0,80,False
15,big,58,H,150,0.7189342809145116,1.515126614463373,0.0,80,False
16,big,58,H,160,0.7824189978727755,0.9181144812444996,0.0,80,False
17,big,58,H,170,0.6660566587727622,0.9540459910923166,0.0,80,False
18,big,58,H,180,0.8487942904068939,1.29862905159524,0.0,80,False
19,big,58,H,190,0.9220328474333398,1.4461186055758153,1.0,80,False
20,big,58,H,200,1.0657704140505275,1.639613366528605,1.0,80,False
21,big,58,H,210,0.9861530731692932,1.3865215049707773,1.0,80,False
22,big,58,H,220,0.8581948367053132,1.331319755421868,0.0,80,False
23,big,58,H,230,0.7546504099598683,0.9511649396087294,0.0,80,False
24,big,58,H,240,0.8998764286470545,1.084687397952699,0.0,80,False
25,big,58,H,250,0.7108297156860381,0.8970820525037753,0.0,80,False
26,big,58,H,260,0.5626190670738225,0.9425257452082636,1.0,80,False
28,big,58,H,280,0.7109501400763164,1.673912295487738,1.0,80,False
30,big,58,H,300,0.2677209885694545,1.2564616596719962,0.0,80,False
31,big,58,H,310,0.4622811705960852,0.9706972485160285,0.0,80,False
32,big,58,H,320,0.5776339238362008,1.3889147303946254,0.0,80,False
33,big,58,H,330,0.5490021739015342,1.3898462703912122,0.0,80,False
34,big,58,H,340,1.0531095332037042,1.5773382933547428,0.0,80,False
35,big,58,H,350,1.0501221042182,1.403751968236807,1.0,80,False
36,big,58,H,360,1.032270938751534,1.5213300970391208,1.0,80,False
37,big,58,H,370,1.0649478478718033,1.180321937000928,0.0,80,False
38,big,58,H,380,0.8953733447501798,1.023299212427209,1.0,80,False
39,big,58,H,390,0.6846069378505597,0.8259159370629054,1.0,80,False
40,big,58,H,400,1.2487986595533087,0.2877272457816521,0.0,80,False
41,big,58,H,410,0.6498330647784221,0.2639338855503276,1.0,80,False
42,big,58,H,420,0.9327627832696032,0.4087457431542127,1.0,80,False
44,big,58,H,440,0.3300995985430456,0.6604294353990464,0.0,80,False
45,big,58,H,450,0.3278817627180969,0.8159759589063172,0.0,80,False
46,big,58,H,460,0.5705353085190513,0.8495868358848033,0.0,80,False
47,big,58,H,470,0.1560945194867117,0.6549045283147654,0.0,80,False
48,big,58,H,480,0.2724269039613423,0.8920764544031711,0.0,80,False
49,big,58,H,490,0.3356303419309867,1.0098903074357466,0.0,80,False
50,big,58,H,500,0.3693285629317733,1.083183598327365,0.0,80,False
51,big,58,H,510,0.3801504556538714,1.139386823229511,0.0,80,False
52,big,58,H,520,0.6752671989544718,1.4589454531859785,0.0,80,False
53,big,58,H,530,0.9187039893897264,2.00480090420936,0.0,80,False
54,big,58,H,540,0.808984300428228,2.085822422580964,0.0,80,False
55,big,58,H,550,1.1948657847964854,1.7168071355693049,1.0,80,False
56,big,58,H,560,1.2476211794164556,1.3156224227027364,1.0,80,False
57,big,58,H,570,1.161221939346441,1.045749214505835,1.0,80,False
58,big,58,H,580,1.0243332835109862,1.0562866897553636,1.0,80,False
59,big,58,H,590,0.7202046397884884,0.8301122108308462,0.0,80,False
60,big,58,H,600,0.82894498536537,0.4663617216390033,0.0,80,False
61,big,58,H,610,0.82894498536537,0.4663617216390033,0.0,80,False
62,big,58,H,620,0.1420481762160551,0.6451646156344684,0.0,80,False
63,big,58,H,630,0.0691682076430392,0.4980158598351033,0.0,80,False
64,big,58,H,640,0.1499501771621054,0.5448367277936641,0.0,80,False
65,big,58,H,650,0.2510459198493769,0.8030812492855035,0.0,80,False
66,big,58,H,660,0.7777557776855024,1.4241564257627677,0.0,80,False
67,big,58,H,670,0.6515051838502645,1.4552276467728276,0.0,80,False
68,big,58,H,680,0.92749599242575,1.6174285541522075,0.0,80,False
69,big,58,H,690,0.9271657484920186,1.5999126203203486,0.0,80,False
70,big,58,H,700,0.8850552706226964,1.972151409759772,0.0,80,False
71,big,58,H,710,0.9130191599092712,1.9371146783914412,1.0,80,False
72,big,58,H,720,0.8287194207800253,1.553029696689337,1.0,80,False
73,big,58,H,730,1.003835950262074,1.0919509280000772,1.0,80,False
74,big,58,H,740,0.4554088640373294,0.5147640088342771,0.0,80,False
75,big,58,H,750,0.8435198837769472,0.3026315550888868,0.0,80,False
76,big,58,H,760,0.9059279951536254,0.403958636363803,0.0,80,False
77,big,58,H,770,0.7370636282499635,1.292097957502166,0.0,80,False
78,big,58,H,780,0.7494594043070744,1.6189026339711214,0.0,80,False
79,big,58,H,790,0.6459323128092815,1.66446442354426,0.0,80,False
80,big,58,H,800,0.7699645263084612,1.5556667264509647,0.0,80,False
81,big,58,H,810,0.6382739333081502,1.3771155189616864,0.0,80,False
87,big,59,E,50,0.6848367881347182,0.8890180126835784,1.0,20,False
88,big,59,E,60,0.6603598044436346,1.0239134159419845,1.0,20,False
89,big,59,E,70,0.7165028833908638,1.1391255460727363,1.0,20,False
