ID,Condition,duration_start,Target,AOI_duration,pupil_diameter,distance_to_aoi
033,0,334.0989,2B,0.666499999999985,-0.25481440231524216,2.2386254445910296
033,0,334.7994,5B,0.2663000000000011,-0.06598400231524224,3.866835135797369
033,0,335.0988,9A,0.06680000000000064,-0.012351002315242221,5.57602725567169
033,0,335.1656,6A,0.46520000000003847,-0.08613393088667079,5.170937454517744
033,0,335.664,9A,0.6999000000000137,-0.11766430231524219,5.551893425531953
033,0,336.8627,PresentationBoard,2.174599999999998,-0.5046138960652422,3.376874430560414
033,0,339.0373,1B,0.27649999999999864,-0.3040617295879695,4.1918531884721135
033,0,339.3378,4A,0.10039999999997917,-0.15396812731524212,5.773385369104158
033,0,339.596,4B,0.3664999999999736,-0.13282850231524215,5.193346001489745
033,0,340.0296,5B,0.2998999999999796,-0.0724580023152422,3.9345950727473755
033,0,340.3959,8B,0.1342999999999961,-0.05754600231524226,5.694704505347746
033,0,340.5302,5B,0.16580000000004702,-0.07353130231524223,4.038801668794758
033,0,341.0284,6A,0.7998000000000047,0.09538989351809113,4.216925093674789
033,0,341.8282,9B,0.33330000000000837,0.05646989768475776,5.675595390767057
033,0,342.1615,6A,0.1997000000000071,0.006326831018091061,3.996757233490482
033,0,342.9276,2B,0.4007000000000289,0.05483578935142445,2.5237297689200897
033,0,343.3614,2A,0.5324999999999704,0.06382018518475774,2.648601129468872
033,0,344.8603,6A,0.06749999999999545,0.16040874768475755,3.9492926895997007
033,0,345.9401,PresentationBoard,3.6743000000000166,-0.16263283244344737,3.225207798664966
033,0,349.9332,1A,0.2534999999999741,-0.2968650023152422,4.9026565424174535
033,0,350.3391,4B,0.43130000000002156,-0.1137868148152422,5.240507692621641
033,0,350.8036,5B,0.06749999999999545,-0.11615675231524236,4.06397495774124
033,0,350.8711,8A,0.06589999999999918,-0.1658202523152421,5.739896704524341
033,0,350.937,5B,0.46589999999997644,0.017832819113329266,3.9275113446623187
033,0,351.4704,6A,0.19920000000001892,-0.06837594675968663,3.90464186383089
033,0,352.8477,PresentationBoard,0.7964000000000055,-0.15798693368779124,2.9564424069613047
033,0,356.7155,1A,0.152499999999975,-0.17122700231524227,4.895315789098549
033,0,357.0665,4A,0.39929999999998245,-0.06626813564857563,5.745722832046975
033,0,357.6328,2A,0.2995999999999981,-0.17445039120413108,3.130263899292559
033,0,358.0991,7B,0.5,-0.047634002315242216,6.621027599533821
033,0,358.5991,7A,0.199799999999982,0.08720118999245008,7.289649022076547
