ID,Expert
003,1
004,0
005,1
006,1
007,0
008,0
009,0
010,0
011,1
012,0
013,0
014,0
015,1
016,0
017,0
019,0
020,0
021,0
022,0
023,0
024,1
026,0
027,0
028,0
029,1
030,0
031,0
032,1
033,0
034,1
035,1
036,1
037,1
038,1
039,0
040,0
041,1
042,1
