Dataset,ID,Condition,Start,transition_entropy,stationary_entropy
vir,3,1,0,0.7360087429959157,2.0720697973698043
vir,3,1,10,0.8434440340319361,1.9559058210530498
vir,3,1,20,0.8665669618188065,2.1067040490521753
vir,3,1,30,0.9961357526713502,2.1556033165917956
vir,3,1,40,0.7812957500044627,2.1902523364880127
vir,3,1,50,1.0282510001330567,1.7934503084575155
vir,3,1,60,0.9111848174838353,1.5511035089049898
vir,3,1,70,1.2007717533032005,1.651222775652408
vir,3,1,80,1.2039353177814687,1.602959916859179
vir,3,1,90,1.2024420065193069,1.618189366829514
vir,3,1,100,1.1525637072269515,1.8210267869891081
vir,3,1,110,0.6876758073266693,2.0754378055277045
vir,3,1,120,0.5677912384458614,1.9062811290721946
vir,3,1,130,0.7673390142404111,1.5486521253784291
vir,3,1,140,0.9624171773282841,1.1103639695440126
vir,3,1,150,0.9476356519262576,1.775324927902822
vir,3,1,160,0.889487454344166,1.6783744583658349
vir,3,1,170,0.6829290260383285,1.805554736050683
vir,3,1,180,1.0758020307318477,1.327458474345379
vir,3,1,190,0.9832721741774328,1.8952785209995548
vir,3,1,200,0.9540905023434059,1.4531427160089683
vir,3,1,210,0.3198792075285175,1.3922025861850646
vir,3,1,220,0.21043442640268584,1.108892535713998
vir,3,1,230,0.7279815321973699,1.334772709060837
vir,3,1,240,0.6609310729813139,1.3019637983119225
vir,3,1,250,0.8502599237949112,0.9648526488186417
vir,3,1,260,1.144524222169168,1.7652723081815187
vir,3,1,270,0.9562273149208035,1.8788146910454375
vir,3,1,280,0.8242270930878622,1.8730933281138185
vir,3,1,290,0.6844862279982478,1.3211509481459138
vir,3,1,300,0.886188301776362,1.3243523877975398
vir,3,1,310,1.1852384115971593,1.1343220169220272
vir,3,1,320,1.1293959524344517,1.538371772295289
vir,3,1,330,1.2074524076581525,1.570217641925149
vir,3,1,340,1.1301875137537702,1.3058111999868887
vir,3,1,350,0.8716446119771348,1.0782782831697184
vir,3,1,360,0.7863397887440333,1.1346303397068513
vir,3,1,370,0.5942366228711959,1.4128405213173751
vir,3,1,380,0.8522565314582753,1.3772855086032876
vir,3,1,390,0.9038333647961591,1.3482687249613465
vir,3,1,400,1.1010635655227854,1.4807180251342353
vir,3,1,410,0.9372651523270434,1.4332273294559763
vir,3,1,420,0.698706853116705,1.7613158988533808
vir,3,1,430,0.9516735057964476,1.7553000481880723
vir,3,1,440,0.9121562687346652,1.7582663604319786
vir,3,1,450,1.201047778477121,1.3224537815004487
vir,3,1,460,1.154073854546068,1.7024705818952532
vir,3,1,470,1.067308369240778,2.0609917990760467
vir,3,1,480,0.8929781167144679,2.3529245272744532
vir,3,1,490,1.1071032838357888,2.383648016220469
vir,3,1,500,1.0551576342809623,2.235287166327496
vir,3,1,510,1.0842894220958192,2.3536249123909996
vir,3,1,520,0.9111155962437715,2.1383930437983736
vir,3,1,530,0.84695508154706,2.0661820716845147
vir,3,1,540,0.8622241026485739,2.0686583620082
vir,3,1,550,0.9875979042844208,2.0232966856859123
vir,3,1,560,0.9621862407439368,2.4104983645941913
vir,3,1,570,1.0599123049093773,2.2265564330823966
vir,3,1,580,0.7187734761784971,2.362251328339536
vir,3,1,590,0.3462086991552531,1.8026750849746045
vir,4,0,0,1.1567062246516078,2.3781835859047313
vir,4,0,10,0.9302331423430426,2.5642898929938074
vir,4,0,20,0.7096620243313878,1.610908443369495
vir,4,0,30,1.1606637230680694,1.4143834097964187
vir,4,0,40,1.1900521094012597,1.226400260146333
vir,4,0,50,1.2900374777693946,1.486822525696732
vir,4,0,60,1.1569193515231304,1.5049911058591028
vir,4,0,70,1.2379360061402491,1.4772265840804197
vir,4,0,80,1.4136465903468245,1.0127198770100412
vir,4,0,90,1.2608749297863489,0.7110837815278094
vir,4,0,100,1.25105361374486,0.8644763612553572
vir,4,0,110,0.7814091528658441,1.536174253704909
vir,4,0,120,0.8378184893469227,1.5708576788552033
vir,4,0,130,1.1426756389010968,1.6403005330713838
vir,4,0,140,1.117525491916954,1.4196687896976303
vir,4,0,150,1.1455659899384882,1.1042570726185146
vir,4,0,160,0.9262636638824446,0.9277041625545693
vir,4,0,170,1.2057351870459867,0.9362612614675411
vir,4,0,180,0.9324871591536509,1.035635593594392
vir,4,0,190,0.8985033726430207,0.9276627662431087
vir,4,0,200,0.6368494929461272,1.123969050101308
vir,4,0,210,0.918436042658321,1.1459951874060508
vir,4,0,220,0.5937505811670781,1.0161691448362296
vir,4,0,230,1.159928433228287,1.1515278584445967
vir,4,0,240,1.2571325760774221,1.0575882476393836
vir,4,0,250,1.0737993067324292,1.0294801988523377
vir,4,0,260,0.9839662128776049,0.9514832998821656
vir,4,0,270,0.665564819339924,1.090289080044638
vir,4,0,280,0.9009670808334291,1.3074769914544693
vir,4,0,290,0.9776001069294473,1.0665233121235949
vir,4,0,300,1.107667508238342,1.3365130348039895
vir,4,0,310,1.164626245735123,1.5680617813684972
vir,4,0,320,1.196497590317146,1.2841276385537428
vir,4,0,330,1.2111249484695585,1.1915046989050353
vir,4,0,340,0.8610709923925932,1.28820105453447
vir,4,0,350,0.5775694293525704,1.3987059712306806
vir,4,0,360,0.8243661288082185,1.4400447523716526
vir,4,0,370,0.9455686411796523,1.5592922277758703
vir,4,0,380,1.0320881252570755,1.9741833562591482
vir,4,0,390,1.0515238542771064,1.8396468273938835
vir,4,0,400,1.0840980224815513,1.352973473407385
vir,4,0,410,0.9927606904437156,1.1949327053759733
vir,4,0,420,0.6444725481260195,1.0417316615081116
vir,4,0,430,0.9567461142320492,1.501735111927133
vir,4,0,440,1.1928420453695785,1.2710199448066473
